limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           29936ops      498ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.04ms]
readfile6            29936ops      498ops/s   4.9mb/s      1.0ms/op [0.00ms - 1984.36ms]
openfile6            29936ops      498ops/s   0.0mb/s      2.2ms/op [0.00ms - 1635.89ms]
closefile5           29936ops      498ops/s   0.0mb/s      0.0ms/op [0.00ms - 11.58ms]
readfile5            29937ops      498ops/s   4.9mb/s      0.9ms/op [0.00ms - 1549.76ms]
openfile5            29937ops      498ops/s   0.0mb/s      1.9ms/op [0.00ms - 1636.00ms]
closefile4           29937ops      498ops/s   0.0mb/s      0.0ms/op [0.00ms -  4.96ms]
readfile4            29937ops      498ops/s   4.9mb/s      0.9ms/op [0.00ms - 1437.62ms]
openfile4            29937ops      498ops/s   0.0mb/s      1.4ms/op [0.00ms - 1635.86ms]
closefile3           29937ops      498ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.04ms]
readfile3            29937ops      498ops/s   4.9mb/s      0.8ms/op [0.00ms - 1864.67ms]
openfile3            29937ops      498ops/s   0.0mb/s      1.6ms/op [0.00ms - 1636.00ms]
closefile2           29937ops      498ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.50ms]
readfile2            29938ops      498ops/s   4.9mb/s      0.9ms/op [0.00ms - 1985.67ms]
openfile2            29938ops      498ops/s   0.0mb/s      0.2ms/op [0.00ms - 1635.59ms]
closefile1           29938ops      498ops/s   0.0mb/s      1.4ms/op [0.00ms - 2127.23ms]
appendfilerand1      29939ops      498ops/s   3.9mb/s      5.4ms/op [0.02ms - 2127.72ms]
createfile1          29981ops      499ops/s   0.0mb/s     63.9ms/op [0.02ms - 6290.39ms]
deletefile1          30027ops      499ops/s   0.0mb/s    116.0ms/op [0.04ms - 6298.15ms]
62.028: IO Summary: 568938 ops 9460.314 ops/s 2489/498 rd/wr  28.3mb/s  33.2ms/op
