limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 15.71ms]
readfile6            45853ops      760ops/s   6.9mb/s      0.1ms/op [0.00ms - 1378.12ms]
openfile6            45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 28.74ms]
closefile5           45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 23.45ms]
readfile5            45853ops      760ops/s   7.0mb/s      0.1ms/op [0.00ms - 1384.43ms]
openfile5            45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 26.57ms]
closefile4           45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.54ms]
readfile4            45853ops      760ops/s   6.9mb/s      0.1ms/op [0.00ms - 652.30ms]
openfile4            45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 11.73ms]
closefile3           45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.48ms]
readfile3            45853ops      760ops/s   6.9mb/s      0.1ms/op [0.00ms - 763.75ms]
openfile3            45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 26.51ms]
closefile2           45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms -  9.24ms]
readfile2            45853ops      760ops/s   7.0mb/s      0.1ms/op [0.00ms - 565.40ms]
openfile2            45853ops      760ops/s   0.0mb/s      0.0ms/op [0.00ms - 14.10ms]
closefile1           45853ops      760ops/s   0.0mb/s      0.4ms/op [0.00ms - 885.44ms]
appendfilerand1      45854ops      760ops/s   5.9mb/s      1.3ms/op [0.02ms - 1388.28ms]
createfile1          45890ops      761ops/s   0.0mb/s     51.0ms/op [0.02ms - 2200.25ms]
deletefile1          45944ops      762ops/s   0.0mb/s     76.9ms/op [0.03ms - 2206.93ms]
62.134: IO Summary: 871336 ops 14444.518 ops/s 3801/760 rd/wr  40.6mb/s  21.7ms/op
