limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.55ms]
readfile6            23377ops      377ops/s   3.9mb/s      0.4ms/op [0.00ms - 1530.04ms]
openfile6            23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms - 14.76ms]
closefile5           23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.07ms]
readfile5            23377ops      377ops/s   3.9mb/s      0.5ms/op [0.00ms - 1810.56ms]
openfile5            23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.49ms]
closefile4           23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms -  5.62ms]
readfile4            23377ops      377ops/s   3.9mb/s      0.4ms/op [0.00ms - 1809.97ms]
openfile4            23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms - 18.66ms]
closefile3           23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms -  1.87ms]
readfile3            23377ops      377ops/s   3.9mb/s      0.5ms/op [0.00ms - 2117.69ms]
openfile3            23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms - 15.49ms]
closefile2           23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.29ms]
readfile2            23377ops      377ops/s   3.9mb/s      0.4ms/op [0.00ms - 1532.13ms]
openfile2            23377ops      377ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.42ms]
closefile1           23377ops      377ops/s   0.0mb/s      1.5ms/op [0.00ms - 2537.53ms]
appendfilerand1      23380ops      377ops/s   3.0mb/s      7.5ms/op [0.00ms - 2547.50ms]
createfile1          23406ops      378ops/s   0.0mb/s     94.9ms/op [0.02ms - 5792.07ms]
deletefile1          23472ops      379ops/s   0.0mb/s    155.9ms/op [0.05ms - 5801.26ms]
63.881: IO Summary: 444290 ops 7169.523 ops/s 1886/377 rd/wr  22.4mb/s  43.8ms/op
