limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           51473ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.19ms]
readfile6            51473ops      858ops/s   7.7mb/s      0.2ms/op [0.00ms - 766.42ms]
openfile6            51474ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 33.52ms]
closefile5           51474ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 15.38ms]
readfile5            51474ops      858ops/s   7.7mb/s      0.1ms/op [0.00ms - 899.38ms]
openfile5            51474ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 20.71ms]
closefile4           51474ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 11.50ms]
readfile4            51475ops      858ops/s   7.7mb/s      0.1ms/op [0.00ms - 623.49ms]
openfile4            51476ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 17.92ms]
closefile3           51476ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms -  9.45ms]
readfile3            51476ops      858ops/s   7.7mb/s      0.1ms/op [0.00ms - 623.40ms]
openfile3            51476ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 30.10ms]
closefile2           51476ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 22.67ms]
readfile2            51476ops      858ops/s   7.7mb/s      0.1ms/op [0.00ms - 612.23ms]
openfile2            51477ops      858ops/s   0.0mb/s      0.0ms/op [0.00ms - 13.11ms]
closefile1           51477ops      858ops/s   0.0mb/s      0.4ms/op [0.00ms - 851.03ms]
appendfilerand1      51479ops      858ops/s   6.7mb/s      1.6ms/op [0.00ms - 1267.20ms]
createfile1          51508ops      858ops/s   0.0mb/s     44.1ms/op [0.02ms - 2365.06ms]
deletefile1          51562ops      859ops/s   0.0mb/s     68.6ms/op [0.03ms - 2396.75ms]
61.877: IO Summary: 978150 ops 16299.616 ops/s 4289/858 rd/wr  45.2mb/s  19.3ms/op
