limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           362366ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.88ms]
readfile6            362366ops     6039ops/s  48.1mb/s      0.0ms/op [0.00ms -  3.60ms]
openfile6            362366ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  5.14ms]
closefile5           362366ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.58ms]
readfile5            362366ops     6039ops/s  48.0mb/s      0.0ms/op [0.00ms -  2.49ms]
openfile5            362366ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms - 71.82ms]
closefile4           362366ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms - 58.66ms]
readfile4            362366ops     6039ops/s  48.1mb/s      0.0ms/op [0.00ms -  6.02ms]
openfile4            362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.83ms]
closefile3           362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.19ms]
readfile3            362367ops     6039ops/s  48.1mb/s      0.0ms/op [0.00ms - 30.18ms]
openfile3            362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.76ms]
closefile2           362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.44ms]
readfile2            362367ops     6039ops/s  48.1mb/s      0.0ms/op [0.00ms -  2.85ms]
openfile2            362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms - 19.68ms]
closefile1           362367ops     6039ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.67ms]
appendfilerand1      362367ops     6039ops/s  47.2mb/s      0.0ms/op [0.00ms -  0.81ms]
createfile1          362398ops     6039ops/s   0.0mb/s      5.5ms/op [0.02ms - 403.42ms]
deletefile1          362457ops     6040ops/s   0.0mb/s     10.8ms/op [0.03ms - 478.98ms]
61.614: IO Summary: 6885086 ops 114737.848 ops/s 30194/6039 rd/wr 287.6mb/s   2.7ms/op
