limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.17ms]
readfile6            392063ops     6534ops/s  52.2mb/s      0.0ms/op [0.00ms -  0.95ms]
openfile6            392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  1.65ms]
closefile5           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.22ms]
readfile5            392063ops     6534ops/s  52.3mb/s      0.0ms/op [0.00ms -  5.17ms]
openfile5            392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms - 40.43ms]
closefile4           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.51ms]
readfile4            392063ops     6534ops/s  52.2mb/s      0.0ms/op [0.00ms -  7.05ms]
openfile4            392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms - 334.10ms]
closefile3           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.22ms]
readfile3            392063ops     6534ops/s  52.2mb/s      0.0ms/op [0.00ms -  5.62ms]
openfile3            392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  8.96ms]
closefile2           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.39ms]
readfile2            392063ops     6534ops/s  52.2mb/s      0.0ms/op [0.00ms - 14.52ms]
openfile2            392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms - 73.51ms]
closefile1           392063ops     6534ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.83ms]
appendfilerand1      392063ops     6534ops/s  51.1mb/s      0.0ms/op [0.00ms -  7.28ms]
createfile1          392063ops     6534ops/s   0.0mb/s      5.3ms/op [0.02ms - 579.06ms]
deletefile1          392078ops     6534ops/s   0.0mb/s      9.8ms/op [0.03ms - 578.68ms]
61.602: IO Summary: 7449212 ops 124137.296 ops/s 32668/6534 rd/wr 312.2mb/s   2.5ms/op
