limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           377231ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.93ms]
readfile6            377231ops     6286ops/s  50.1mb/s      0.0ms/op [0.00ms -  2.95ms]
openfile6            377231ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.74ms]
closefile5           377231ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.30ms]
readfile5            377231ops     6286ops/s  50.0mb/s      0.0ms/op [0.00ms -  4.94ms]
openfile5            377231ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  1.28ms]
closefile4           377231ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.33ms]
readfile4            377231ops     6286ops/s  50.0mb/s      0.0ms/op [0.00ms - 187.59ms]
openfile4            377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  1.09ms]
closefile3           377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.45ms]
readfile3            377232ops     6286ops/s  50.0mb/s      0.0ms/op [0.00ms - 10.26ms]
openfile3            377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.87ms]
closefile2           377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.18ms]
readfile2            377232ops     6286ops/s  50.1mb/s      0.0ms/op [0.00ms -  0.62ms]
openfile2            377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  5.96ms]
closefile1           377232ops     6286ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.71ms]
appendfilerand1      377232ops     6286ops/s  49.0mb/s      0.0ms/op [0.00ms -  1.70ms]
createfile1          377266ops     6287ops/s   0.0mb/s      5.5ms/op [0.02ms - 408.31ms]
deletefile1          377318ops     6288ops/s   0.0mb/s     10.1ms/op [0.03ms - 433.07ms]
61.582: IO Summary: 7167519 ops 119443.887 ops/s 31432/6286 rd/wr 299.2mb/s   2.6ms/op
