limit                0ops        0ops/s   0.0mb/s      0.0ms/op [0.00ms -  0.00ms]
closefile6           266544ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.82ms]
readfile6            266544ops     4442ops/s  35.7mb/s      0.0ms/op [0.00ms - 23.38ms]
openfile6            266544ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.19ms]
closefile5           266544ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.21ms]
readfile5            266545ops     4442ops/s  35.7mb/s      0.0ms/op [0.00ms - 10.37ms]
openfile5            266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms - 10.48ms]
closefile4           266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  7.86ms]
readfile4            266545ops     4442ops/s  35.7mb/s      0.0ms/op [0.00ms - 16.70ms]
openfile4            266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms - 12.67ms]
closefile3           266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  6.75ms]
readfile3            266545ops     4442ops/s  35.7mb/s      0.0ms/op [0.00ms - 30.11ms]
openfile3            266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  7.13ms]
closefile2           266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  3.88ms]
readfile2            266545ops     4442ops/s  35.7mb/s      0.0ms/op [0.00ms -  8.03ms]
openfile2            266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms - 17.00ms]
closefile1           266545ops     4442ops/s   0.0mb/s      0.0ms/op [0.00ms -  5.79ms]
appendfilerand1      266545ops     4442ops/s  34.7mb/s      0.0ms/op [0.00ms - 23.87ms]
createfile1          266602ops     4443ops/s   0.0mb/s     14.2ms/op [0.02ms - 1307.36ms]
deletefile1          266634ops     4443ops/s   0.0mb/s      8.0ms/op [0.02ms - 1307.50ms]
61.489: IO Summary: 5064497 ops 84393.642 ops/s 22208/4442 rd/wr 213.2mb/s   3.7ms/op
